Hour,Energy (kWh)
0,16.3169176814346
1,17.683851864734297
2,15.791430782258065
3,13.921772
4,8.835875828787879
5,7.879700029674369
6,9.805287445742712
7,9.793098230907688
8,9.459209164936428
9,9.363476645310213
10,9.104758793991417
11,8.040213749326673
12,7.510526658388825
13,8.00141184017267
14,8.30212788581216
15,7.644693691529709
16,7.512814353291388
17,7.456807250903874
18,7.790452961454941
19,7.8191101533246
20,8.996317155916776
21,11.20467332737517
22,13.358434751454983
23,15.642315018823528
